"Student_ID","Age","Gender","Academic_Level","Country","Avg_Daily_Usage_Hours","Most_Used_Platform","Sleep_Hours_Per_Night","Mental_Health_Score","Relationship_Status","Conflicts_Over_Social_Media","Addicted_Score","Social_Media_Burnout"
4145,21,"Male","Graduate","Sri Lanka",4.4,"Facebook",5.9,9,"In Relationship",0,7,"Moderate"
8591,20,"Female","High School","Sri Lanka",5,"Instagram",6.4,8,"In Relationship",1,8,"Moderate"
2674,21,"Female","Undergraduate","Brazil",4.8,"Instagram",6.7,7,"In Relationship",2,4,"Low"
6329,23,"Male","Graduate","USA",6.4,"Instagram",8.2,6,"Single",4,8,"Low"
8625,21,"Male","Graduate","Mexico",4,"TikTok",6.4,5,"In Relationship",3,5,"Low"
1326,21,"Male","Graduate","Australia",4.2,"Instagram",5.8,6,"Single",2,7,"Moderate"
7108,20,"Female","Undergraduate","Turkey",6.8,"TikTok",7.5,6,"Single",2,6,"Moderate"
6680,20,"Female","Undergraduate","France",4.2,"TikTok",7.7,6,"Single",4,4,"High"
5908,23,"Male","Graduate","Switzerland",6.5,"TikTok",5.9,6,"Single",2,7,"Moderate"
986,19,"Male","Undergraduate","Japan",4.8,"Facebook",6,7,"In Relationship",4,7,"Moderate"
6605,21,"Male","Graduate","Netherlands",6,"Instagram",7.7,6,"In Relationship",2,7,"Low"
6683,24,"Male","Graduate","Japan",3.6,"Instagram",6.4,6,"Single",2,4,"Moderate"
1168,24,"Female","Graduate","China",5.5,"YouTube",4.6,6,"In Relationship",4,8,"Moderate"
5424,22,"Male","Graduate","UAE",4.2,"Instagram",6.7,5,"In Relationship",4,6,"Moderate"
850,20,"Female","Undergraduate","Pakistan",6.1,"WhatsApp",4.1,7,"Single",3,7,"Moderate"
6737,20,"Female","Undergraduate","Spain",3,"Instagram",8.5,5,"Single",3,8,"Low"
7321,22,"Male","Graduate","Bangladesh",4.8,"YouTube",4.7,6,"In Relationship",1,6,"Low"
4536,21,"Male","Graduate","Singapore",3.6,"KakaoTalk",5.3,5,"Single",3,7,"High"
4528,22,"Male","Graduate","Sri Lanka",3.8,"TikTok",7.5,7,"In Relationship",2,8,"Moderate"
6916,22,"Male","Graduate","Italy",4.1,"TikTok",5.9,5,"In Relationship",4,7,"High"
5528,20,"Male","Undergraduate","South Korea",5.3,"LINE",7.4,8,"In Relationship",3,8,"Moderate"
5873,21,"Male","Graduate","USA",6.4,"Instagram",7.2,6,"In Relationship",2,5,"Low"
9733,24,"Male","Graduate","France",4.9,"TikTok",5.7,7,"Single",3,5,"High"
5615,22,"Male","Graduate","Ireland",6.2,"Snapchat",5.6,8,"In Relationship",3,7,"Low"
1349,19,"Male","Undergraduate","San Marino",4.5,"Instagram",7.9,7,"Single",1,4,"Moderate"
6480,20,"Female","Undergraduate","Slovakia",6.2,"Instagram",7.3,8,"Single",4,7,"Moderate"
7158,20,"Female","Undergraduate","Ireland",4.4,"Facebook",6.7,7,"Single",3,6,"High"
4137,19,"Female","Undergraduate","Sri Lanka",6.1,"Instagram",7.1,5,"Single",4,8,"Moderate"
1206,21,"Male","Graduate","Australia",5.7,"Facebook",7.7,7,"In Relationship",2,6,"Moderate"
7960,19,"Female","Undergraduate","UAE",4.8,"Facebook",6.3,8,"In Relationship",3,5,"Moderate"
5224,19,"Male","Undergraduate","Bangladesh",4.6,"Instagram",8,6,"In Relationship",2,7,"Low"
3380,20,"Female","Undergraduate","Hungary",2.5,"WhatsApp",5.1,7,"In Relationship",4,7,"Moderate"
3814,21,"Male","Graduate","Bhutan",5.3,"Facebook",4.5,6,"Single",3,8,"High"
2773,20,"Female","Undergraduate","Pakistan",4.3,"Twitter",7.2,6,"In Relationship",3,7,"Low"
1324,21,"Male","Undergraduate","Russia",3.8,"TikTok",7.9,6,"In Relationship",2,8,"High"
9480,24,"Female","Graduate","San Marino",5.1,"Instagram",6.6,7,"In Relationship",3,8,"Moderate"
7191,21,"Male","Graduate","Belarus",4.2,"TikTok",8.4,7,"In Relationship",2,8,"Moderate"
3848,21,"Male","Graduate","Finland",3.3,"TikTok",7.5,4,"In Relationship",3,6,"High"
3554,22,"Male","Graduate","Bhutan",4.7,"Instagram",4.8,6,"Single",2,9,"Low"
7322,20,"Female","Undergraduate","Poland",3.3,"Twitter",8.6,6,"In Relationship",4,8,"Moderate"
9194,22,"Female","Graduate","Mexico",5.5,"Twitter",6.2,6,"Single",4,7,"Moderate"
7017,21,"Female","Undergraduate","Mexico",4.5,"Facebook",7.6,5,"Single",2,7,"Low"
8935,21,"Male","Graduate","India",4,"Instagram",6.2,5,"Single",3,8,"Low"
3759,22,"Female","Graduate","Denmark",5.6,"TikTok",7.6,5,"Single",4,3,"Low"
7876,22,"Male","Graduate","Denmark",4.5,"TikTok",6.8,5,"In Relationship",2,8,"High"
3497,22,"Male","Graduate","Mexico",4.7,"Twitter",7.8,6,"In Relationship",4,9,"Moderate"
9780,22,"Male","Graduate","Nepal",3.5,"Instagram",7.9,6,"Single",2,9,"Moderate"
8229,23,"Male","Graduate","Japan",6.1,"Snapchat",8.4,7,"In Relationship",2,8,"Moderate"
468,20,"Female","Undergraduate","Canada",6,"Twitter",7.2,6,"Single",3,7,"High"
6261,19,"Female","Undergraduate","Bangladesh",4,"Instagram",5.2,8,"Complicated",3,8,"Moderate"
7081,20,"Female","Undergraduate","UK",3.8,"KakaoTalk",7.3,8,"In Relationship",3,7,"High"
8791,21,"Male","Graduate","Jamaica",6.9,"TikTok",8.4,7,"In Relationship",1,7,"High"
5940,21,"Male","Graduate","USA",5.9,"TikTok",5.3,8,"Single",2,7,"Moderate"
672,19,"Female","Undergraduate","France",6.2,"Instagram",8,8,"Single",3,6,"Moderate"
5651,21,"Male","Undergraduate","France",4.9,"Twitter",8.6,8,"In Relationship",2,8,"High"
3029,22,"Male","Graduate","USA",7.1,"Twitter",7.5,7,"Single",1,5,"High"
5945,21,"Male","Graduate","India",4.6,"Instagram",7.8,4,"In Relationship",3,9,"High"
8410,22,"Male","Graduate","China",5,"Instagram",8.5,5,"In Relationship",3,7,"High"
2806,19,"Female","Undergraduate","Pakistan",6.5,"Instagram",8.8,6,"In Relationship",3,8,"Moderate"
6835,20,"Female","Undergraduate","Italy",5.5,"Facebook",6.1,8,"Single",1,6,"Low"
791,20,"Female","Undergraduate","Canada",3.3,"TikTok",5.9,7,"In Relationship",4,5,"Moderate"
148,20,"Female","Undergraduate","Denmark",5.2,"TikTok",6.8,7,"Single",3,6,"Low"
5710,21,"Female","Graduate","Switzerland",5.4,"Facebook",6.3,8,"Single",2,6,"Moderate"
8597,24,"Male","Graduate","Pakistan",5.8,"Instagram",5.5,5,"Single",3,5,"Moderate"
5985,24,"Male","Graduate","India",4,"Twitter",7.3,5,"Single",3,7,"Moderate"
110,22,"Male","Graduate","Poland",2.6,"WhatsApp",6.5,5,"Single",1,7,"Moderate"
5330,22,"Male","Graduate","South Korea",4.4,"Snapchat",6.9,6,"Single",2,8,"Moderate"
9457,19,"Female","Undergraduate","Maldives",6.2,"TikTok",8.9,8,"In Relationship",2,6,"Moderate"
9103,20,"Female","Undergraduate","Turkey",7.9,"Facebook",6.5,7,"In Relationship",2,7,"Moderate"
2066,23,"Male","Graduate","Canada",6.2,"Facebook",5.3,8,"In Relationship",3,7,"High"
3230,19,"Female","Undergraduate","Maldives",2.9,"Facebook",7.6,8,"Single",2,7,"Moderate"
692,24,"Male","Graduate","Spain",4,"LINE",7.2,8,"Single",2,7,"Moderate"
9393,21,"Male","Graduate","Spain",5.4,"Instagram",6.2,7,"Single",4,7,"High"
9646,22,"Male","Graduate","Netherlands",4.1,"WhatsApp",5.9,4,"Single",4,7,"Low"
6648,22,"Male","Graduate","UK",4.8,"Instagram",9.5,5,"Single",4,9,"Low"
6123,19,"Male","Undergraduate","UK",4.9,"TikTok",7.3,6,"Single",3,8,"High"
9306,24,"Female","Graduate","Sri Lanka",7.1,"Instagram",6.6,5,"In Relationship",3,9,"Moderate"
2356,23,"Male","Graduate","Nepal",6.8,"Instagram",7,5,"In Relationship",1,9,"Moderate"
5585,20,"Female","High School","Turkey",5.5,"Facebook",6.6,5,"Single",3,8,"Moderate"
9585,20,"Female","Undergraduate","Bangladesh",4.9,"Instagram",5.5,8,"In Relationship",3,6,"Moderate"
8632,22,"Male","Graduate","Denmark",6.2,"Facebook",5,7,"In Relationship",4,7,"Moderate"
2169,20,"Female","Undergraduate","Nepal",2.3,"Instagram",5.2,7,"Single",3,7,"Moderate"
5376,24,"Male","Graduate","Ireland",4.4,"Instagram",5.7,5,"Single",4,7,"High"
4410,22,"Male","Graduate","Russia",6.3,"WhatsApp",6.7,7,"Single",3,9,"High"
301,21,"Male","Graduate","Poland",4.9,"Facebook",6.3,4,"In Relationship",3,7,"High"
5623,21,"Male","Undergraduate","Georgia",4.7,"Instagram",8.2,5,"Single",3,8,"Moderate"
331,22,"Male","Graduate","UAE",4,"Instagram",4.2,5,"In Relationship",4,9,"Moderate"
2477,19,"Male","Undergraduate","Brazil",5.9,"Instagram",8.6,6,"In Relationship",2,5,"Moderate"
9796,22,"Male","Graduate","Israel",5.1,"Instagram",8.6,8,"In Relationship",4,7,"Moderate"
6644,23,"Male","Graduate","Turkey",4.5,"LinkedIn",7.2,6,"Single",3,7,"Moderate"
9398,22,"Male","Graduate","Nepal",4.9,"Twitter",8.6,6,"In Relationship",3,6,"Moderate"
6140,18,"Male","High School","Spain",4.4,"Instagram",5.6,5,"Single",1,4,"Moderate"
6044,20,"Female","Undergraduate","Australia",4.4,"TikTok",7.1,7,"Single",2,7,"High"
8863,20,"Female","Undergraduate","Denmark",4.7,"WhatsApp",6.7,8,"Single",3,3,"Low"
6788,22,"Male","Graduate","Turkey",4.2,"TikTok",9.1,6,"In Relationship",3,8,"Moderate"
6014,19,"Male","Undergraduate","Denmark",6.1,"Snapchat",6.6,6,"Single",2,9,"Low"
8630,20,"Male","Undergraduate","Denmark",4.3,"Instagram",8.4,7,"Single",3,7,"Low"
9147,20,"Female","Undergraduate","Slovenia",3.3,"LinkedIn",4.6,5,"Single",3,8,"Moderate"
7565,19,"Female","Undergraduate","China",5.9,"TikTok",7.2,8,"Single",3,4,"Moderate"
5148,21,"Female","Graduate","Japan",4.7,"Twitter",5.5,6,"In Relationship",1,6,"Low"
5417,21,"Male","Graduate","Sri Lanka",5.1,"Twitter",6.4,6,"In Relationship",2,6,"Moderate"
1411,22,"Male","Graduate","Maldives",3.8,"Instagram",7.5,5,"Single",2,7,"Moderate"
8355,23,"Female","Graduate","Maldives",4.5,"YouTube",5.8,6,"Complicated",3,5,"Moderate"
1864,19,"Female","Undergraduate","Bangladesh",4.8,"Instagram",7.3,6,"In Relationship",3,7,"Moderate"
4074,18,"Female","High School","Denmark",4.2,"Instagram",7.9,8,"In Relationship",2,4,"Moderate"
1420,20,"Female","Undergraduate","Canada",3.5,"Instagram",8.2,8,"In Relationship",3,4,"Low"
8344,19,"Female","Undergraduate","Qatar",3.6,"Instagram",8,5,"In Relationship",3,8,"Moderate"
2328,19,"Female","High School","Poland",6.8,"Facebook",7.1,7,"Single",1,5,"Moderate"
4416,21,"Female","Undergraduate","Switzerland",2.9,"LinkedIn",8.7,7,"Single",3,6,"Moderate"
1322,24,"Female","Graduate","Ireland",7.3,"Instagram",7.3,6,"Complicated",0,7,"Low"
7582,19,"Female","Undergraduate","Costa Rica",2.8,"Instagram",4.7,8,"Single",1,8,"Low"
3153,20,"Female","Undergraduate","Turkey",6.1,"Instagram",5.4,7,"Single",1,7,"Moderate"
713,20,"Female","Undergraduate","South Korea",4.8,"Facebook",6,5,"Single",3,6,"Moderate"
3080,19,"Female","Undergraduate","China",4.5,"WhatsApp",7,5,"In Relationship",2,7,"High"
8666,22,"Male","Graduate","Sri Lanka",5.7,"Facebook",7.4,7,"In Relationship",3,7,"Moderate"
5508,19,"Female","Undergraduate","Mexico",5.2,"TikTok",5.5,5,"Single",2,8,"Moderate"
1631,21,"Male","Graduate","Turkey",3.5,"Twitter",7.2,8,"Single",4,8,"Moderate"
5398,20,"Female","Undergraduate","Malaysia",6.3,"Instagram",6.9,5,"Single",4,5,"Moderate"
2476,19,"Female","Undergraduate","Malaysia",4.7,"Instagram",6.6,6,"Single",3,4,"High"
6492,19,"Female","Undergraduate","Ireland",3.8,"TikTok",6,8,"In Relationship",2,6,"Low"
7298,22,"Male","Graduate","Luxembourg",4.2,"TikTok",6.2,8,"Single",3,7,"Moderate"
5502,22,"Male","Graduate","Canada",4.2,"TikTok",7.4,7,"In Relationship",3,6,"Moderate"
1230,19,"Male","Undergraduate","Mexico",4.6,"TikTok",8.5,8,"Single",4,5,"Low"
8660,19,"Female","High School","Netherlands",7.6,"Instagram",5.7,6,"Single",3,7,"Moderate"
2728,22,"Male","Graduate","Spain",4.2,"Instagram",7.3,5,"Single",3,6,"Moderate"
9624,24,"Female","Graduate","Canada",4.3,"Instagram",7.4,6,"Single",2,8,"Moderate"
1723,18,"Female","High School","Australia",4.6,"Instagram",7.5,7,"In Relationship",4,9,"Moderate"
1754,19,"Female","Undergraduate","Ireland",5.4,"TikTok",7.9,8,"Single",2,7,"Low"
184,20,"Female","Undergraduate","Denmark",6.1,"KakaoTalk",7.9,5,"Single",3,5,"Moderate"
2599,20,"Female","Undergraduate","Ireland",5.1,"Twitter",8,7,"Single",3,8,"Low"
5799,19,"Female","Undergraduate","France",4.7,"Instagram",7.3,6,"In Relationship",4,7,"Moderate"
3217,23,"Male","Graduate","Japan",6.4,"TikTok",8.4,7,"Single",2,7,"Low"
5178,20,"Female","Undergraduate","Maldives",4.6,"Facebook",6.9,6,"In Relationship",2,5,"High"
9788,22,"Male","Graduate","India",6.2,"Snapchat",6.6,7,"Single",3,5,"Low"
4974,19,"Female","Undergraduate","UK",3.2,"Facebook",7.2,7,"Single",3,7,"Moderate"
8702,20,"Female","Undergraduate","Sri Lanka",4.6,"Instagram",7.6,5,"Single",1,5,"Low"
1815,21,"Male","Graduate","Finland",7.2,"TikTok",5.6,8,"In Relationship",3,5,"Moderate"
4927,23,"Female","Graduate","UAE",4.8,"Twitter",7.9,6,"In Relationship",4,4,"Moderate"
4629,18,"Female","High School","Azerbaijan",5.9,"Facebook",6,7,"Complicated",4,8,"High"
8150,22,"Male","Graduate","Italy",3.5,"TikTok",8.2,5,"In Relationship",2,7,"Moderate"
2316,21,"Male","Graduate","India",5.2,"Instagram",5.9,6,"Single",2,7,"High"
1468,20,"Female","Undergraduate","Singapore",5.4,"Facebook",5.3,6,"In Relationship",5,7,"Moderate"
9467,22,"Male","Graduate","Japan",4.8,"Facebook",6.7,6,"Single",3,2,"Moderate"
6756,20,"Female","Undergraduate","Morocco",4.8,"TikTok",5.5,6,"In Relationship",1,5,"High"
6313,20,"Male","Undergraduate","Maldives",2.2,"Facebook",5.8,4,"Single",3,9,"Moderate"
2155,22,"Male","Graduate","Uruguay",3.7,"Facebook",6.7,6,"Single",2,7,"Moderate"
2088,20,"Female","Undergraduate","Turkey",4.3,"Facebook",6.8,5,"In Relationship",0,5,"Moderate"
4194,21,"Male","Graduate","Sweden",3.5,"Facebook",6.7,5,"Single",2,8,"Moderate"
4548,19,"Female","Undergraduate","Canada",4.7,"Instagram",9.1,8,"Single",4,4,"Low"
8575,19,"Female","Undergraduate","Denmark",3.8,"Instagram",6.6,6,"Single",2,8,"Low"
7619,21,"Male","Undergraduate","China",5.1,"Twitter",5.6,7,"Single",1,5,"Low"
8208,21,"Male","Graduate","Ireland",6.7,"Twitter",8.1,5,"Single",2,7,"High"
7612,21,"Male","Undergraduate","Austria",7.1,"Instagram",7.5,5,"Single",4,5,"Moderate"
5901,24,"Female","Graduate","Thailand",4.2,"Facebook",5.4,6,"Single",2,4,"Moderate"
3908,21,"Male","Undergraduate","USA",4.9,"WhatsApp",6.8,5,"Single",3,7,"Low"
7157,20,"Female","Undergraduate","Israel",3.1,"Instagram",7.8,5,"In Relationship",1,7,"High"
3487,19,"Female","Undergraduate","India",2.9,"TikTok",7,8,"Single",2,5,"Moderate"
3649,22,"Male","Graduate","Kazakhstan",2.7,"Instagram",5.7,6,"In Relationship",3,4,"Moderate"
7851,22,"Male","Graduate","Ireland",2.9,"Instagram",6.5,7,"In Relationship",3,4,"Moderate"
7505,20,"Female","Undergraduate","Maldives",6.9,"Instagram",6.3,8,"In Relationship",2,7,"Moderate"
3995,19,"Female","Undergraduate","Turkey",4.7,"Facebook",7.3,6,"In Relationship",3,6,"High"
7221,22,"Male","Graduate","India",3.1,"TikTok",7,6,"In Relationship",3,8,"Moderate"
1773,19,"Male","Undergraduate","UAE",4.8,"WeChat",6.6,6,"Single",2,7,"High"
8537,21,"Female","Graduate","India",4.6,"Twitter",7.3,6,"In Relationship",1,8,"Moderate"
2876,19,"Female","Undergraduate","Denmark",5.3,"Instagram",8.4,7,"In Relationship",3,8,"Moderate"
4098,22,"Male","Graduate","India",7.9,"Facebook",6.7,5,"In Relationship",3,8,"Moderate"
3582,19,"Female","High School","Bangladesh",4.8,"Instagram",5.9,5,"Single",2,8,"Moderate"
3754,22,"Male","Graduate","Denmark",5.7,"Instagram",6.6,6,"Single",4,7,"High"
2765,22,"Male","Graduate","France",6,"Instagram",6.4,6,"Single",3,8,"High"
3522,24,"Female","Graduate","Spain",4.9,"Twitter",8.9,6,"Single",2,4,"Moderate"
3837,20,"Female","Undergraduate","India",2.9,"LINE",5,6,"Single",2,7,"High"
6863,22,"Male","Graduate","Japan",4.8,"Instagram",7.7,8,"Single",1,5,"Moderate"
2259,21,"Male","Graduate","Ireland",4.5,"Facebook",4.3,5,"Single",3,5,"Moderate"
6088,20,"Female","Undergraduate","Malaysia",4.8,"Facebook",7.1,6,"Complicated",4,5,"Moderate"
4729,21,"Female","Undergraduate","Poland",7.8,"TikTok",6.9,8,"In Relationship",3,7,"Moderate"
4934,19,"Female","Undergraduate","Nepal",5.6,"Instagram",7.8,8,"Single",2,9,"Low"
676,20,"Female","Undergraduate","Mexico",6.4,"TikTok",7.5,5,"Single",4,8,"Moderate"
5775,22,"Male","Graduate","Mexico",7,"TikTok",5.5,6,"Single",1,5,"Moderate"
6299,21,"Female","Undergraduate","Taiwan",4.7,"Instagram",6.7,6,"Single",4,5,"Moderate"
8765,21,"Male","Graduate","Netherlands",6.7,"Instagram",6.1,7,"In Relationship",4,8,"Low"
2164,20,"Female","Undergraduate","Australia",5.7,"WhatsApp",9.4,6,"In Relationship",2,5,"Low"
261,21,"Male","Graduate","Australia",4.9,"TikTok",6.4,6,"In Relationship",2,7,"Moderate"
2602,21,"Male","Graduate","Lebanon",5,"WeChat",6.7,7,"In Relationship",4,7,"Moderate"
4244,21,"Male","Graduate","UAE",2.7,"TikTok",5.5,7,"In Relationship",4,4,"Moderate"
2932,20,"Female","Undergraduate","Poland",5.7,"Instagram",6,4,"Single",4,5,"Moderate"
2322,22,"Male","Graduate","Czech Republic",5.2,"Facebook",7.9,7,"In Relationship",4,7,"Moderate"
2190,21,"Male","Graduate","Sri Lanka",3.2,"Facebook",5.4,6,"In Relationship",3,7,"Moderate"
1358,19,"Male","Undergraduate","New Zealand",5,"Facebook",8.5,6,"Single",3,7,"Low"
1586,19,"Female","Undergraduate","UAE",4.3,"LINE",6,5,"Single",3,8,"Moderate"
4066,21,"Male","Graduate","Bosnia",4.6,"TikTok",5.5,8,"Single",4,7,"High"
2670,18,"Male","High School","China",5.9,"TikTok",8.2,7,"Single",5,6,"Moderate"
9497,18,"Male","High School","USA",6.2,"Instagram",6.3,6,"In Relationship",2,4,"Low"
4231,21,"Male","Graduate","Maldives",6.4,"Instagram",8.7,7,"Single",2,6,"Low"
5307,20,"Male","Undergraduate","Netherlands",4.3,"Twitter",5.2,7,"In Relationship",4,4,"Moderate"
9320,18,"Male","High School","Nepal",4.2,"Facebook",6.6,7,"Single",3,9,"Moderate"
4807,19,"Female","Undergraduate","Japan",2.9,"Instagram",8.4,6,"In Relationship",3,5,"High"
1548,22,"Male","Graduate","USA",5.5,"TikTok",7.5,5,"In Relationship",3,7,"High"
3297,19,"Female","Undergraduate","Canada",5.8,"Facebook",5.8,7,"In Relationship",4,5,"Moderate"
9118,19,"Female","Undergraduate","Singapore",5.6,"Instagram",7.2,6,"In Relationship",4,5,"Moderate"
3703,22,"Male","Graduate","Turkey",7,"TikTok",5.9,6,"Single",2,4,"Moderate"
9977,19,"Female","Undergraduate","Russia",8.2,"LINE",5.6,4,"In Relationship",3,6,"Moderate"
7209,21,"Male","Graduate","India",8.2,"WhatsApp",7,5,"Single",3,7,"Moderate"
8115,19,"Female","Undergraduate","Australia",6.9,"Facebook",5.8,4,"Single",2,8,"Moderate"
9342,21,"Female","Graduate","Russia",4.6,"Instagram",7.1,5,"Single",3,9,"Moderate"
7114,23,"Male","Graduate","Turkey",2.3,"Instagram",8,5,"In Relationship",2,8,"Moderate"
1593,21,"Male","Graduate","Russia",3.3,"Instagram",6.3,5,"In Relationship",3,5,"Low"
2465,20,"Male","Undergraduate","India",5.3,"Instagram",9.4,7,"In Relationship",4,7,"Moderate"
144,19,"Female","Undergraduate","Ireland",2.8,"Instagram",5.9,8,"In Relationship",4,8,"Moderate"
8902,22,"Male","Graduate","Canada",5.8,"YouTube",6,6,"In Relationship",2,4,"Low"
8224,19,"Female","Undergraduate","Bangladesh",4.8,"WhatsApp",6,6,"In Relationship",3,5,"Moderate"
3228,21,"Male","Graduate","Denmark",4.7,"TikTok",7.7,4,"In Relationship",3,4,"High"
9379,20,"Female","Undergraduate","Sweden",3,"LinkedIn",7.4,5,"In Relationship",4,6,"Moderate"
2249,20,"Female","Undergraduate","Netherlands",5.8,"Facebook",5.2,5,"In Relationship",3,5,"Moderate"
2793,22,"Male","Graduate","Nepal",4.8,"TikTok",7.7,6,"Single",1,4,"Moderate"
9203,21,"Male","Graduate","Ireland",5.7,"WhatsApp",6.3,6,"Single",3,7,"High"
7641,21,"Male","Graduate","UK",5.8,"TikTok",6.9,6,"In Relationship",0,7,"High"
3394,19,"Female","Undergraduate","Pakistan",7.1,"Instagram",6.4,8,"Single",3,6,"Moderate"
8291,18,"Female","High School","USA",5.8,"Instagram",4.8,7,"In Relationship",2,9,"Moderate"
5599,19,"Female","Undergraduate","Canada",4.2,"Instagram",6.8,8,"In Relationship",3,5,"Low"
5518,23,"Male","Graduate","UAE",6.5,"TikTok",8.5,5,"Single",4,7,"Low"
8399,22,"Male","Graduate","Canada",4.1,"Instagram",5.8,5,"In Relationship",3,7,"Low"
3733,24,"Male","Graduate","India",6.8,"Instagram",6.9,5,"Single",2,4,"Moderate"
5023,23,"Female","Graduate","Ghana",4.8,"Facebook",6.7,8,"Single",3,7,"Moderate"
8554,19,"Female","Undergraduate","Bangladesh",5.7,"TikTok",6.8,6,"Single",3,4,"Moderate"
8981,21,"Male","Graduate","New Zealand",6.3,"Facebook",5.9,8,"In Relationship",3,9,"High"
451,21,"Female","Graduate","France",4.8,"Snapchat",6.9,6,"Complicated",4,9,"Moderate"
5553,22,"Male","Graduate","Malta",4,"TikTok",4.9,5,"In Relationship",2,5,"Low"
4624,20,"Female","Undergraduate","Maldives",7.3,"Instagram",6.3,6,"In Relationship",4,4,"Moderate"
2929,22,"Male","Graduate","Italy",4.6,"Twitter",8,8,"Single",4,7,"Moderate"
6608,19,"Female","Undergraduate","Turkey",4.9,"Instagram",6.5,8,"Single",1,7,"Low"
6077,19,"Male","Undergraduate","USA",4.4,"LinkedIn",8.1,5,"Single",3,8,"High"
3248,21,"Male","Undergraduate","Canada",3.5,"TikTok",8,6,"Single",3,7,"High"
6191,19,"Male","Undergraduate","Germany",6.5,"TikTok",5.8,6,"Complicated",3,7,"Moderate"
5637,20,"Female","Undergraduate","UK",6.8,"TikTok",6.8,5,"Single",1,6,"Moderate"
6886,22,"Male","Graduate","Qatar",4.4,"LINE",7.5,8,"Single",2,3,"Moderate"
4530,21,"Female","Undergraduate","India",2.1,"TikTok",6.5,6,"Single",3,8,"Low"
8913,20,"Female","Undergraduate","Ireland",3.9,"WhatsApp",5.1,6,"Single",2,5,"Low"
7833,21,"Male","Graduate","Australia",4.4,"TikTok",7.5,8,"Single",3,9,"Moderate"
8319,21,"Female","Undergraduate","India",6.4,"Instagram",7.9,7,"In Relationship",5,6,"Moderate"
8595,22,"Male","Graduate","Italy",7.1,"YouTube",5.5,8,"Single",2,6,"Moderate"
7870,20,"Female","Undergraduate","Mexico",4.8,"Facebook",8.3,5,"In Relationship",1,4,"High"
834,22,"Male","Graduate","Canada",4.6,"TikTok",8.2,6,"Complicated",2,4,"Moderate"
3492,20,"Female","Undergraduate","Ireland",5.4,"TikTok",7.9,8,"In Relationship",1,7,"High"
277,19,"Female","High School","North Macedonia",4.1,"TikTok",7.9,8,"Single",3,5,"Moderate"
1037,22,"Male","Graduate","Argentina",2.4,"TikTok",8.3,7,"Single",1,7,"Moderate"
9131,21,"Male","Graduate","Maldives",4,"WeChat",6.4,6,"In Relationship",3,7,"Moderate"
